identifier,process,crossSection=-1,BR=1,execute=True,dataset,prefix,pattern,splitLevel,::variables,::pyFragments,comment


DoubleMu2016B  ,DoubleMu,  -1,   ,, /DoubleMuon/Run2016B-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleMu,json_2016.py,
DoubleEG2016B  ,DoubleEle, -1,   ,, /DoubleEG/Run2016B-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleEle,json_2016.py,
MuonEG2016B    ,MuEG,      -1,   ,, /MuonEG/Run2016B-PromptReco-v2/MINIAOD,dbs,,2,PD=MuEG,json_2016.py,
SingleEle2016B ,SingEle,   -1,   ,, /SingleElectron/Run2016B-PromptReco-v2/MINIAOD,dbs,,5,PD=SingleElectron,json_2016.py,
SingleMuon2016B,SingleMu,  -1,   ,, /SingleMuon/Run2016B-PromptReco-v2/MINIAOD,dbs,,5,PD=SingleMuon;,json_2016.py,

DoubleMu2016C  ,DoubleMu , -1,   ,, /DoubleMuon/Run2016C-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleMu;,json_2016.py,
DoubleEG2016C  ,DoubleEle, -1,   ,, /DoubleEG/Run2016C-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleEle;,json_2016.py,
MuonEG2016C    ,MuEG     , -1,   ,, /MuonEG/Run2016C-PromptReco-v2/MINIAOD,dbs,,2,PD=MuEG;,json_2016.py,
SingleEle2016C ,SingEle  , -1,   ,, /SingleElectron/Run2016C-PromptReco-v2/MINIAOD,dbs,,5,PD=SingleElectron;,json_2016.py,
SingleMuon2016C,SingleMu , -1,   ,, /SingleMuon/Run2016C-PromptReco-v2/MINIAOD,dbs,,5,PD=SingleMuon;,json_2016.py,

DoubleMu2016D  ,DoubleMu , -1,   ,, /DoubleMuon/Run2016D-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleMu;,json_2016.py,                                          
DoubleEG2016D  ,DoubleEle, -1,   ,, /DoubleEG/Run2016D-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleEle;,json_2016.py,
MuonEG2016D    ,MuEG     , -1,   ,, /MuonEG/Run2016D-PromptReco-v2/MINIAOD,dbs,,2,PD=MuEG;,json_2016.py,
SingleEle2016D ,SingEle  , -1,   ,, /SingleElectron/Run2016D-PromptReco-v2/MINIAOD,dbs,,5,PD=SingleElectron;,json_2016.py,
SingleMuon2016D,         , -1,   ,, /SingleMuon/Run2016D-PromptReco-v2/MINIAOD,dbs,,5,PD=SingleMuon;,json_2016.py,


DoubleMu2016E  ,DoubleMu , -1,   ,, /DoubleMuon/Run2016E-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleMu;,json_2016.py,
DoubleEG2016E  ,DoubleEle, -1,   ,, /DoubleEG/Run2016E-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleEle;,json_2016.py,
MuonEG2016E    ,MuEG     , -1,   ,, /MuonEG/Run2016E-PromptReco-v2/MINIAOD,dbs,,2,PD=MuEG;,json_2016.py,
SingleEle2016E ,SingEle  , -1,   ,, /SingleElectron/Run2016E-PromptReco-v2/MINIAOD,dbs,,5,PD=SingleElectron;,json_2016.py,

DoubleMu2016F  ,DoubleMu , -1,   ,, /DoubleMuon/Run2016F-PromptReco-v1/MINIAOD,dbs,,2,PD=DoubleMu;,json_2016.py,
DoubleEG2016F  ,DoubleEle, -1,   ,, /DoubleEG/Run2016F-PromptReco-v1/MINIAOD,dbs,,2,PD=DoubleEle;,json_2016.py,
MuonEG2016F    ,MuEG     , -1,   ,, /MuonEG/Run2016F-PromptReco-v1/MINIAOD,dbs,,2,PD=MuEG;,json_2016.py,
SingleEle2016F ,SingEle  , -1,   ,, /SingleElectron/Run2016F-PromptReco-v1/MINIAOD,dbs,,5,PD=SingleElectron;,json_2016.py,


DoubleMu2016G  ,DoubleMu , -1,   ,, /DoubleMuon/Run2016G-PromptReco-v1/MINIAOD,dbs,,2,PD=DoubleMu;,json_2016.py,
DoubleEG2016G  ,DoubleEle, -1,   ,, /DoubleEG/Run2016G-PromptReco-v1/MINIAOD,dbs,,2,PD=DoubleEle;,json_2016.py,
MuonEG2016G    ,MuEG     , -1,   ,, /MuonEG/Run2016G-PromptReco-v1/MINIAOD,dbs,,2,PD=MuEG;,json_2016.py,
SingleEle2016G ,SingEle  , -1,   ,, /SingleElectron/Run2016G-PromptReco-v1/MINIAOD,dbs,,5,PD=SingleElectron;,json_2016.py,


DoubleMu2016H  ,DoubleMu , -1,   ,, /DoubleMuon/Run2016H-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleMu;,json_2016.py,
DoubleEG2016H  ,DoubleEle, -1,   ,, /DoubleEG/Run2016H-PromptReco-v2/MINIAOD,dbs,,2,PD=DoubleEle;,json_2016.py,
MuonEG2016H    ,MuEG     , -1,   ,, /MuonEG/Run2016H-PromptReco-v2/MINIAOD,dbs,,2,PD=MuEG;,json_2016.py,
SingleEle2016H ,SingEle  , -1,   ,, /SingleElectron/Run2016H-PromptReco-v2/MINIAOD,dbs,,5,PD=SingleElectron;,json_2016.py,
 



